food_name,category,description,food_category,calories,carbohydrates,fiber,sugars,fats,proteins,score
Mustard,Individual Foods,MUSTARD,"Ketchup, Mustard, BBQ & Cheese Sauce",173.4,22.66,0.0,27.360000000000003,4.0,0.0,0.2758
Oats,Individual Foods,OATS,Cereal,738.2,45.62,5.62,2.866,23.619999999999997,9.22,0.612
Okra,Individual Foods,OKRA,Frozen Vegetables,55.6,7.382000000000001,2.2,1.6179999999999999,0.038,2.35,0.3468
Olive oil,Individual Foods,OLIVE OIL,Vegetable & Cooking Oils,739.2,1.428,0.0,0.0,83.22,0.0,0.3136
Oranges,Individual Foods,ORANGES,Pre-Packaged Fruit & Vegetables,105.8,26.560000000000002,1.7,22.018,0.48999999999999994,0.66,0.2262
Oregano,Individual Foods,OREGANO,Herbs & Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Parmesan Cheese,Individual Foods,PARMESAN CHEESE,Cheese,404.4,2.094,0.0,0.0,29.439999999999998,35.56,0.42000000000000004
Parsley,Individual Foods,PARSLEY,Herbs & Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Peaches,Individual Foods,PEACHES,Wholesome Snacks,172.8,41.538,4.9799999999999995,28.133999999999997,0.068,0.636,0.3568
Peanut Butter,Individual Foods,PEANUT BUTTER,Nut & Seed Butters,571.0,28.76,5.82,13.786000000000001,42.1,19.994,0.42160000000000003
Pears,Individual Foods,PEARS,Pre-Packaged Fruit & Vegetables,152.0,24.18,5.08,13.744,0.074,0.792,0.23020000000000002
Pecans,Individual Foods,PECANS,"Popcorn, Peanuts, Seeds & Related Snacks",699.2,14.219999999999999,8.16,4.0920000000000005,72.26,10.14,0.41600000000000004
Pickles,Individual Foods,PICKLES,"Pickles, Olives, Peppers & Relishes",44.6,12.27,1.42,8.524,0.0,0.0,0.3012
Pineapple,Individual Foods,PINEAPPLE,Wholesome Snacks,197.0,38.55,1.375,28.0825,4.8875,1.1225,0.26675
Pinto beans,Individual Foods,PINTO BEANS,Canned & Bottled Beans,119.2,23.9,6.38,1.342,0.154,8.0,0.5631999999999999
Pistachios,Individual Foods,PISTACHIOS,"Popcorn, Peanuts, Seeds & Related Snacks",487.8,24.78,9.28,6.1899999999999995,40.88,17.86,0.4694
Plums,Individual Foods,"Plums, raw",Fruits and Fruit Juices,185.9,23.6,2.67,15.454000000000002,0.4944,0.9356,0.22160000000000002
Pomegranate,Individual Foods,POMEGRANATE,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",184.8,22.72,2.36,11.508,4.574,3.2380000000000004,0.24939999999999998
Pork Loin,Individual Foods,"Pork, loin, boneless, raw",Pork Products,486.8,0.152,0.0,0.016,6.587999999999999,21.080000000000002,0.39980000000000004
Potatoes,Individual Foods,POTATOES,Pre-Packaged Fruit & Vegetables,74.2,16.9,1.64,1.084,0.0,2.164,0.4502
Protein Bars,Individual Foods,PROTEIN BARS,"Snack, Energy & Granola Bars",355.6,42.1,14.680000000000001,8.6,9.856,33.260000000000005,0.6918
Pumpkin seeds,Individual Foods,PUMPKIN SEEDS,"Popcorn, Peanuts, Seeds & Related Snacks",591.75,12.475000000000001,5.825,0.8325,49.175,29.974999999999998,0.55475
Quinoa,Individual Foods,QUINOA,Frozen Dinners & Entrees,306.4,58.48,6.359999999999999,1.78,4.965999999999999,11.152000000000001,0.6832
Raspberries,Individual Foods,RASPBERRIES,Frozen Fruit & Fruit Juice Concentrates,61.8,14.559999999999999,5.5600000000000005,7.587999999999999,0.47400000000000003,1.234,0.3298
Rice Cakes,Individual Foods,RICE CAKES,Other Snacks,417.0,76.02000000000001,6.28,6.316,6.68,10.08,0.5801999999999999
Ricotta cheese,Individual Foods,RICOTTA CHEESE,Cheese,142.0,5.622,0.0,4.586,7.226000000000001,13.392000000000001,0.23200000000000004
Ritz Crackers,Individual Foods,"Nabisco, Nabisco Ritz Crackers",Baked Products,290.2,31.619999999999997,2.12,6.498,22.22,7.976000000000001,0.3448
Roasted Chickpeas,Individual Foods,"Chickpeas, (garbanzo beans, bengal gram), dry",Legumes and Legume Products,594.25,52.900000000000006,11.675,9.594999999999999,5.6375,16.68,0.6112500000000001
Rye Bread,Individual Foods,RYE BREAD,Breads & Buns,609.4,49.58,5.0200000000000005,2.1719999999999997,3.0140000000000002,8.846,0.791
Salmon,Individual Foods,SALMON,Fish & Seafood,196.75,1.1175,0.175,0.0,12.1125,19.175,0.40575
Salsa,Individual Foods,SALSA,Dips & Salsa,72.0,7.62,0.72,4.1659999999999995,4.294,0.0,0.24100000000000002
Sardines,Individual Foods,SARDINES,Canned Seafood,178.6,0.0,0.0,0.0,10.431999999999999,20.94,0.394
Sauerkraut,Individual Foods,SAUERKRAUT,Canned Vegetables,15.2,3.8299999999999996,2.8,2.664,0.0,0.33399999999999996,0.2692
Scallops,Individual Foods,SCALLOPS,Frozen Fish & Seafood,122.6,2.652,0.24,0.47800000000000004,0.67,12.1,0.37
Seaweed Snacks,Individual Foods,SEAWEED SNACKS,Other Snacks,551.0,52.410000000000004,8.72,9.89,10.284,11.168000000000001,0.5488
Sesame OilPopcorn,Individual Foods,"Candies, sesame crunch",Sweets,760.4,23.08,4.454,10.379999999999999,52.15999999999999,12.74,0.4824
Shrimp,Individual Foods,SHRIMP,Frozen Fish & Seafood,86.8,0.354,0.0,0.0,1.126,18.36,0.3928
Soda,Individual Foods,SODA,Soda,36.8,9.459999999999999,0.0,9.346,0.0,0.0,0.096
Spinach,Individual Foods,SPINACH,Pre-Packaged Fruit & Vegetables,20.8,3.07,1.8199999999999998,0.0,0.0,2.268,0.3648
Split Peas,Individual Foods,"Peas, green, split, mature seeds, raw",Legumes and Legume Products,469.6,27.04,8.440000000000001,2.552,1.922,10.416,0.539
Strawberries,Individual Foods,STRAWBERRIES,Frozen Fruit & Fruit Juice Concentrates,38.6,8.856,2.22,5.514,0.078,0.868,0.19780000000000003
Sunflower seeds,Individual Foods,SUNFLOWER SEEDS,"Popcorn, Peanuts, Seeds & Related Snacks",441.4,17.6,8.14,2.714,37.38,17.619999999999997,0.5294000000000001
Sweet potatoes,Individual Foods,SWEET POTATOES,Pre-Packaged Fruit & Vegetables,83.6,20.02,2.96,5.582,0.0,1.358,0.3386
Tahini,Individual Foods,TAHINI,Salad Dressing & Mayonnaise,659.6,11.488,8.4,0.0,60.720000000000006,19.28,0.5614
Tea,Individual Foods,TEA,Iced & Bottle Tea,22.4,5.518000000000001,0.64,4.9079999999999995,0.0,0.0,0.181
Tempeh,Individual Foods,Tempeh,Legumes and Legume Products,431.8,12.516,7.1,1.608,8.004000000000001,18.012,0.532
Tofu,Individual Foods,TOFU,Other Meats,82.6,1.866,0.96,0.0,4.556,8.174000000000001,0.37120000000000003
Turkey breast,Individual Foods,TURKEY BREAST,"Pepperoni, Salami & Cold Cuts",99.4,1.786,0.0,1.074,1.268,19.9,0.364
Turmeric,Individual Foods,TURMERIC,Herbs & Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Unsweetened Coconut Milk,Individual Foods,UNSWEETENED COCONUT MILK,Plant Based Milk,167.0,4.3362,0.06,4.202,4.556,0.6406000000000001,0.1772
Unsweetened almond milk,Individual Foods,"Almond milk, unsweetened, plain, refrigerated",Beverages,169.0,3.3176,0.1,4.386,1.492,0.5376000000000001,0.16019999999999998
Unsweetened soy milk,Individual Foods,"Soy milk, unsweetened, plain, shelf stable",Legumes and Legume Products,437.4,3.8862,0.06,4.428,1.722,1.7731999999999999,0.1694
Vinegar,Individual Foods,VINEGAR,Other Cooking Sauces,13.4,1.334,0.0,1.334,0.0,1.334,0.266
Walnuts,Individual Foods,WALNUTS,"Popcorn, Peanuts, Seeds & Related Snacks",655.2,14.26,6.0600000000000005,3.3840000000000003,64.8,15.52,0.4588
Watermelon,Individual Foods,WATERMELON,Pre-Packaged Fruit & Vegetables,30.2,7.508,0.44000000000000006,6.436,0.188,0.6060000000000001,0.12279999999999999
Wheat Bread,Individual Foods,WHEAT BREAD,Breads & Buns,262.8,50.2,3.5200000000000005,5.078,3.216,10.166,0.6712
White Bread,Individual Foods,WHITE BREAD,Breads & Buns,253.6,47.68,2.18,4.698,2.5700000000000003,8.32,0.6344
White Rice,Individual Foods,WHITE RICE,Rice,351.8,80.24,0.78,0.0,0.0,7.098000000000001,0.5816
Whole Grain Bread,Individual Foods,WHOLE GRAIN BREAD,Breads & Buns,260.2,43.58,7.160000000000001,5.042,5.61,10.218,0.6437999999999999
Whole Wheat Crackers,Individual Foods,WHOLE WHEAT CRACKERS,Crackers & Biscotti,454.75,68.575,7.5,4.4,16.2,9.29,0.7095
Whole wheat pasta,Individual Foods,WHOLE WHEAT PASTA,Pasta by Shape & Type,693.5,63.974999999999994,9.625,1.565,2.2025,9.907499999999999,0.6677500000000001
Wild Rice,Individual Foods,WILD RICE,Rice,318.8,67.38,5.380000000000001,1.002,1.012,12.36,0.6688000000000001
Zoodles,Individual Foods,"ZOODLES ZUCCHINI NOODLES WITH TOMATO & MUSHROOM SAUCE, ZOODLES","Entrees, Sides & Small Meals",113.8,5.465999999999999,1.8199999999999998,2.1420000000000003,7.612,5.726000000000001,0.31920000000000004
Zucchini,Individual Foods,ZUCCHINI,Pre-Packaged Fruit & Vegetables,59.4,4.493,1.1454,2.278,0.20700000000000002,1.3968,0.274
